town,action,reason,changed_fields,timestamp
Andover,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Ansonia,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Ashford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Avon,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Barkhamsted,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Beacon Falls,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Berlin,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Bethany,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Bethel,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Bethlehem,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Bloomfield,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Bolton,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Bozrah,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Branford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Bridgeport,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Bridgewater,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Bristol,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Brookfield,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Brooklyn,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Burlington,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Canaan,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Canterbury,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Canton,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Chaplin,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Cheshire,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Chester,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Clinton,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Colchester,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Colebrook,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Columbia,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Cornwall,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Coventry,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Cromwell,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Danbury,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Darien,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Deep River,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Derby,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Durham,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
East Granby,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
