Town,action,confidence,employment_page_type,new_employment_url,old_employment_url,platform,reason,source
Andover,no_change,,,,,civicplus,status_403_bot_block_likely,
Ansonia,needs_review,,,,,other,no_candidate_validated,
Ashford,no_change,,,,,civicplus,employment_not_marked_broken,
Avon,no_change,,,,,other,employment_not_marked_broken,
Barkhamsted,no_change,,,,,civiclift,employment_not_marked_broken,
Beacon Falls,needs_review,,,,,civicplus,no_candidate_validated,
Berlin,no_change,,,,,other,employment_not_marked_broken,
Bethany,no_change,,,,,other,employment_not_marked_broken,
Bethel,no_change,,,,,other,employment_not_marked_broken,
Bethlehem,no_change,,,,,other,employment_not_marked_broken,
Bloomfield,no_change,,,,,other,employment_not_marked_broken,
Bolton,needs_review,,,,,other,no_candidate_validated,
Bozrah,no_change,,,,,civicplus,employment_not_marked_broken,
Branford,no_change,,,,,civicplus,employment_not_marked_broken,
Bridgeport,no_change,,,,,other,employment_not_marked_broken,
Bridgewater,no_change,,,,,civicplus,employment_not_marked_broken,
Bristol,no_change,,,,,civicplus,employment_not_marked_broken,
Brookfield,needs_review,,,,,civicplus,no_candidate_validated,
Brooklyn,no_change,,,,,civicplus,status_403_bot_block_likely,
Burlington,no_change,,,,,civicplus,employment_not_marked_broken,
Canaan,no_change,,,,,civiclift,employment_not_marked_broken,
Canterbury,no_change,,,,,civicplus,status_403_bot_block_likely,
Canton,no_change,,,,,other,employment_not_marked_broken,
Chaplin,no_change,,,,,other,employment_not_marked_broken,
Cheshire,no_change,,,,,civicplus,employment_not_marked_broken,
Chester,no_change,,,,,civicplus,status_403_bot_block_likely,
Clinton,no_change,,,,,civicplus,employment_not_marked_broken,
Colchester,no_change,,,,,civicplus,employment_not_marked_broken,
Colebrook,needs_review,,,,,other,no_candidate_validated,
Columbia,no_change,,,,,civicplus,employment_not_marked_broken,
Cornwall,no_change,,,,,other,employment_not_marked_broken,
Coventry,no_change,,,,,civicplus,employment_not_marked_broken,
Cromwell,no_change,,,,,civicplus,status_403_bot_block_likely,
Danbury,no_change,,,,,civicplus,employment_not_marked_broken,
Darien,no_change,,,,,civicplus,employment_not_marked_broken,
Deep River,no_change,,,,,civicplus,status_403_bot_block_likely,
Derby,no_change,,,,,other,employment_not_marked_broken,
Durham,no_change,,,,,civiclift,employment_not_marked_broken,
