town,field_affected,original_value,candidate_value,action_taken,reason,timestamp,report_field_name,canonical_live_status,canonical_live_status_code,canonical_live_final_url,candidate_live_status,candidate_live_status_code,candidate_live_final_url
Beacon Falls,Employment Page URL,https://www.beaconfalls-ct.org/beacon-falls-town-hall/pages/employment-opportunities-0,https://www.beaconfalls-ct.org/formcenter,applied,candidate_stronger_than_broken_canonical,2026-04-16T20:20:14,employment_page,broken,404,https://www.beaconfalls-ct.org/beacon-falls-town-hall/pages/employment-opportunities-0,working,200,https://www.beaconfalls-ct.org/formcenter
Brookfield,Employment Page URL,https://www.brookfieldct.gov/human-resources/pages/job-opportunities,https://www.brookfieldct.gov/Jobs.aspx,applied,candidate_stronger_than_broken_canonical,2026-04-16T20:20:14,employment_page,broken,404,https://www.brookfieldct.gov/human-resources/pages/job-opportunities,working,200,https://www.brookfieldct.gov/Jobs.aspx
Brooklyn,Employment Page URL,https://www.brooklynct.org/home/pages/employment-opportunities,https://www.brooklynct.org/Jobs.aspx,applied,candidate_stronger_than_broken_canonical,2026-04-16T20:20:14,employment_page,broken,404,https://www.brooklynct.org/home/pages/employment-opportunities,working,200,https://www.brooklynct.org/Jobs.aspx
Chester,Employment Page URL,https://www.chesterct.org/1196/Employment-Opportunities,https://www.chesterct.org/QuickLinks.aspx,applied,candidate_stronger_than_broken_canonical,2026-04-16T20:20:14,employment_page,suspicious,200,https://www.chesterct.org/1196/Employment-Opportunities,working,200,https://www.chesterct.org/QuickLinks.aspx
East Hampton,Employment Page URL,https://www.easthamptonct.gov/human-resources/pages/job-openings,https://www.easthamptonct.gov/QuickLinks.aspx,applied,candidate_stronger_than_broken_canonical,2026-04-16T20:20:14,employment_page,broken,404,https://www.easthamptonct.gov/human-resources/pages/job-openings,working,200,https://www.easthamptonct.gov/QuickLinks.aspx
East Haven,Employment Page URL,https://www.easthaven-ct.gov/civil-service/pages/job-notices-and-tests,https://www.easthaven-ct.gov/Jobs.aspx,applied,candidate_stronger_than_broken_canonical,2026-04-16T20:20:14,employment_page,broken,404,https://www.easthaven-ct.gov/civil-service/pages/job-notices-and-tests,working,200,https://www.easthaven-ct.gov/Jobs.aspx
Essex,Employment Page URL,https://www.essexct.gov/home/pages/employment-opportunities,https://www.essexct.gov/354/Employment-Opportunities,applied,candidate_stronger_than_broken_canonical,2026-04-16T20:20:14,employment_page,broken,404,https://www.essexct.gov/home/pages/employment-opportunities,working,200,https://www.essexct.gov/354/Employment-Opportunities
Franklin,Employment Page URL,https://www.franklinct.gov/home/pages/job-openings,https://www.franklinct.gov/sites/g/files/vyhlif586/f/uploads/building_permit_app_form-7-19-24_portrait_fillable.pdf,applied,candidate_stronger_than_broken_canonical,2026-04-16T20:20:14,employment_page,broken,404,https://www.franklinct.gov/home/pages/job-openings,working,200,https://www.franklinct.gov/sites/g/files/vyhlif586/f/uploads/building_permit_app_form-7-19-24_portrait_fillable.pdf
Old Saybrook,Employment Page URL,https://www.oldsaybrookct.gov/selectmans-office/town-employee-information/pages/employment-opportunities,https://www.oldsaybrookct.gov/Jobs.aspx,applied,candidate_stronger_than_broken_canonical,2026-04-16T20:20:14,employment_page,broken,404,https://www.oldsaybrookct.gov/selectmans-office/town-employee-information/pages/employment-opportunities,working,200,https://www.oldsaybrookct.gov/Jobs.aspx
Oxford,Employment Page URL,https://www.oxford-ct.gov/home/pages/employment-opportunities,https://www.oxford-ct.gov/1197/Employment-Opportunities,applied,candidate_stronger_than_broken_canonical,2026-04-16T20:20:14,employment_page,broken,404,https://www.oxford-ct.gov/home/pages/employment-opportunities,working,200,https://www.oxford-ct.gov/1197/Employment-Opportunities
Trumbull,Employment Page URL,https://www.trumbull-ct.gov/210/Human-Resources-Civil-Service,https://www.trumbull-ct.gov/Jobs.aspx,skipped,candidate_not_clearly_better_than_canonical,2026-04-16T20:20:14,employment_page,working,200,https://www.trumbull-ct.gov/210/Human-Resources-Civil-Service,working,200,https://www.trumbull-ct.gov/Jobs.aspx
Washington,Employment Page URL,https://www.washingtonct.org/board-of-selectmen/pages/employment,https://www.washingtonct.org/1359/Employment,applied,candidate_stronger_than_broken_canonical,2026-04-16T20:20:14,employment_page,broken,404,https://www.washingtonct.org/board-of-selectmen/pages/employment,working,200,https://www.washingtonct.org/1359/Employment
Willington,Employment Page URL,https://www.willingtonct.gov/home/pages/employment,https://www.willingtonct.gov/Jobs.aspx,applied,candidate_stronger_than_broken_canonical,2026-04-16T20:20:14,employment_page,broken,404,https://www.willingtonct.gov/home/pages/employment,working,200,https://www.willingtonct.gov/Jobs.aspx
