town,field_affected,original_value,candidate_value,action_taken,reason,timestamp,report_field_name,canonical_live_status,canonical_live_status_code,canonical_live_final_url,candidate_live_status,candidate_live_status_code,candidate_live_final_url
Beacon Falls,Employment Page URL,https://www.beaconfalls-ct.org/beacon-falls-town-hall/pages/employment-opportunities-0,https://www.beaconfalls-ct.org/formcenter,skipped,candidate_is_generic_navigation_page,2026-04-16T21:44:25,employment_page,,,,,,
Brookfield,Employment Page URL,https://www.brookfieldct.gov/human-resources/pages/job-opportunities,https://www.brookfieldct.gov/Jobs.aspx,manual_review_needed,both_urls_not_working:link_health_broken,2026-04-16T21:44:25,employment_page,broken,,,broken,,
Brooklyn,Employment Page URL,https://www.brooklynct.org/home/pages/employment-opportunities,https://www.brooklynct.org/Jobs.aspx,manual_review_needed,both_urls_not_working:link_health_broken,2026-04-16T21:44:25,employment_page,broken,,,broken,,
Chester,Employment Page URL,https://www.chesterct.org/1196/Employment-Opportunities,https://www.chesterct.org/QuickLinks.aspx,skipped,candidate_is_generic_navigation_page,2026-04-16T21:44:25,employment_page,,,,,,
East Hampton,Employment Page URL,https://www.easthamptonct.gov/human-resources/pages/job-openings,https://www.easthamptonct.gov/QuickLinks.aspx,skipped,candidate_is_generic_navigation_page,2026-04-16T21:44:25,employment_page,,,,,,
East Haven,Employment Page URL,https://www.easthaven-ct.gov/civil-service/pages/job-notices-and-tests,https://www.easthaven-ct.gov/Jobs.aspx,manual_review_needed,both_urls_not_working:link_health_broken,2026-04-16T21:44:25,employment_page,broken,,,broken,,
Essex,Employment Page URL,https://www.essexct.gov/home/pages/employment-opportunities,https://www.essexct.gov/354/Employment-Opportunities,manual_review_needed,both_urls_not_working:link_health_broken,2026-04-16T21:44:25,employment_page,broken,,,broken,,
Franklin,Employment Page URL,https://www.franklinct.gov/home/pages/job-openings,https://www.franklinct.gov/sites/g/files/vyhlif586/f/uploads/building_permit_app_form-7-19-24_portrait_fillable.pdf,skipped,candidate_is_document_not_employment_page,2026-04-16T21:44:25,employment_page,,,,,,
Old Saybrook,Employment Page URL,https://www.oldsaybrookct.gov/selectmans-office/town-employee-information/pages/employment-opportunities,https://www.oldsaybrookct.gov/Jobs.aspx,manual_review_needed,both_urls_not_working:link_health_broken,2026-04-16T21:44:25,employment_page,broken,,,broken,,
Oxford,Employment Page URL,https://www.oxford-ct.gov/home/pages/employment-opportunities,https://www.oxford-ct.gov/1197/Employment-Opportunities,manual_review_needed,both_urls_not_working:link_health_broken,2026-04-16T21:44:25,employment_page,broken,,,broken,,
Trumbull,Employment Page URL,https://www.trumbull-ct.gov/210/Human-Resources-Civil-Service,https://www.trumbull-ct.gov/Jobs.aspx,manual_review_needed,both_urls_not_working:link_health_broken,2026-04-16T21:44:25,employment_page,broken,,,broken,,
Washington,Employment Page URL,https://www.washingtonct.org/board-of-selectmen/pages/employment,https://www.washingtonct.org/1359/Employment,manual_review_needed,both_urls_not_working:link_health_broken,2026-04-16T21:44:25,employment_page,broken,,,broken,,
Willington,Employment Page URL,https://www.willingtonct.gov/home/pages/employment,https://www.willingtonct.gov/Jobs.aspx,manual_review_needed,both_urls_not_working:link_health_broken,2026-04-16T21:44:25,employment_page,broken,,,broken,,
